OverallQual,GrLivArea,GarageArea,YearBuilt,TotalBsmtSF
7,767,367,1998,723
7,1496,426,2006,654
8,1567,648,2006,1520
5,1148,308,1952,980
8,1970,753,2006,1085
8,2810,750,1990,1453
8,2630,696,1998,1470
5,2274,480,1960,1105
6,1261,433,1958,1261
5,1486,480,1964,1486
5,773,240,1953,773
6,1537,462,1962,1319
7,1779,546,1998,866
4,1225,0,1959,950
6,848,420,2003,848
6,1376,198,1937,780
6,1471,440,1999,729
4,869,0,1923,440
6,1458,440,1999,729
5,894,440,1974,864
7,1718,427,1998,832
5,1701,611,1975,1390
4,864,576,1972,864
6,1855,512,1976,528
6,1651,616,1986,1606
6,1224,528,2009,612
5,928,288,1957,928
4,1092,0,1930,0
7,1641,546,1925,728
6,1416,776,1968,708
8,1904,736,2005,1058
5,936,308,1956,936
6,1556,452,1980,716
4,864,400,1951,864
7,1654,900,2002,1654
5,1416,576,1918,816
8,2365,856,1999,1252
4,1067,436,1950,1067
6,1902,539,1978,0
7,1557,420,2003,1374
7,1839,486,1998,1195
